sentence,label
"I've been dealing with this huge pain in my right upper quadrant for the past two months, and it's been getting worse. It's this dull ache, and it really bothers me. Even touching the area feels tender. But that's not all. I've noticed that I have bad appetite and my body weight drop significantly recently, and I always feel so tired. Over the past week, my legs have been swelling up, especially around the ankles. I can't exercise like I used to, and even simple things like taking a shower or brushing my teeth leave me short of breath and exhausted. It's weird; I've had to prop myself up to sleep the last couple of nights because I couldn't breathe well lying down. I've had heart failure, high cholesterol and high blood pressure since my early 40s. I've also suffered from diabetes, which has been under control. I've been on disability for a while now, and I'm covered by Medicaid. I've had gotten two doses of Pfizer COVID vaccine. I don’t know whether they are this the reason. Oh, in my 20s, I had two surgeries and removed both my appendix and tonsils. I'm really concerned about what's going on, especially with my heart history. Docter, can you help me figure out what's happening and what we can do about it?",2.0
"Hello, doctor. I've been experiencing a persistent and progressively worsening pain in my right upper quadrant for the past two months. The pain is dull, and it's tender when touched. Alongside this, I've noticed my body weight keeps decreasing, with my appetite keeps decreasing, too. I feel fatigued for months. Over the past week, my lower extremities have been swelling, and I've been finding it difficult to perform daily activities due to shortness of breath, fatigue, and orthopnea, especially during the past two nights. I believe it's crucial to mention my past medical history, including heart failure diagnosed at the age of 45, dyslipidemia, hypertension, and type 2 diabetes mellitus, which is currently controlled and non-insulin dependent. I've also had issues with obesity and depression since the age of 43. It's worth noting that I've had an appendectomy at 28 and a tonsillectomy at 20. In terms of lifestyle, I'm currently unemployed and on medical disability, living with my partner for the past 20 years in a downtown apartment. I have one child. I have smoked a pack of cigarettes daily for the past 20 years and consume alcohol four times a week, with a total of 16–20 drinks per week. I've had two doses of the Pfizer COVID vaccine, with the last one being five months ago. Additionally, I drink two cups of coffee per day. I'm concerned about the recent changes in my health and would appreciate your guidance on the next steps to understand and address these issues. Thank you.",2.0
"Doctor, I've been experiencing some concerning symptoms lately, and I thought it was important to come in and discuss them with you. Over the past two months, I've been dealing with progressive right upper quadrant pain. It's a dull ache, and it's tender to the touch. On the pain scale, I would rate it around a 6 out of 10. Along with this pain, I've noticed my body weight loss, increased fatigue, and a decreased appetite. In the last week, things have taken a turn for the worse. I've developed bilateral lower extremity edema, and my exercise tolerance has significantly decreased. Even basic activities like bathing and brushing my teeth leave me feeling short of breath and fatigued. I've also experienced orthopnea for the past two nights. As you know from my medical history, I've been diagnosed with heart failure with reduced ejection fraction since I was 45. I've been managing dyslipidemia, hypertension, and controlled, non-insulin dependent type 2 diabetes since my early 40s. My weight has been a concern, and I'm currently on medical disability, unemployed, and receiving Medicaid. In terms of lifestyle, I'm a smoker with a 20-year pack/day history, and I consume alcohol four times a week, averaging 16-20 drinks in total. I've had my two Pfizer COVID vaccines, with the last one being five months ago. I live with my partner of 20 years, and we have one child. Considering these symptoms and my medical history, I'm worried about the recent changes in my health. I'd appreciate your guidance on what could be causing these symptoms and what steps we should take to address them. Thank you for your time.",2.0
"Hey, doctor, I've been experiencing progressive right upper quadrant pain for the past two months, and it's been quite concerning. It feels dull and tender to touch. Alongside this, I've noticed that my weight slightly decreased, and I always have a bad appetite when dining. Over the past week, my lower extremities have been swelling, and I've been having difficulty with everyday activities due to shortness of breath and fatigue. Specifically, I've had issues with orthopnea for the past two nights. As you know, I have a history of heart failure with reduced ejection fraction since I was 45 years old, and I've been managing dyslipidemia, hypertension, and type 2 diabetes for several years now. I control my diabetes well, but there are many other diseases that are worsening. Now, because of my situation, I'm unemployed and living with my partner and our only child. I smoke about a pack of cigarettes per day because it is hard for me to quit. I also consume alcohol regularly, about four times a week, with a total of 16–20 drinks per week. I've had my two doses of the Pfizer COVID vaccine, with the last one administered five months ago. Do you know what is happening to me?",2.0
"Hi, doctor, I've been feeling this pain on my right side for the past couple of months, and it's gotten worse. It feels kinda dull and tender when I touch it. I've also noticed I'm losing weight without really trying, and I'm more tired than usual. Lately, my legs have been swelling up, and it's making it hard for me to do stuff like walking around. I'm even having trouble catching my breath when I do simple things like taking a shower or brushing my teeth. And these last two nights, I've had trouble breathing when lying down. You know about my heart trouble from before, but I've been keeping my other issues like diabetes and high blood pressure in check. I'm not working right now because of health stuff, and I live with my partner. I smoke a pack a day, and I drink a bit most days. Oh, and I got two COVID shots five months ago. I'm not sure what's going on, but I figured it's time to talk to you about it. What do you think?",2.0
"Hey, doctor, I've been having this pain on my right side that's been bothering me for a while now. It feels kind of dull and sore when I touch it. I've noticed I'm losing weight without trying, feeling more tired, and my legs are swelling up. It's gotten to the point where I'm having trouble doing everyday things like taking a shower or brushing my teeth because I get out of breath and fatigued. The past couple of nights have been rough with me struggling to breathe when lying down. You already know about my heart problems, but I've been keeping my diabetes and high blood pressure under control. Right now, I'm not working due to health issues, and I live with my partner. I smoke about a pack a day, and I have a few drinks most days. I got two doses of the COVID vaccine five months ago. I'm not sure what's going on, can you help me?",2.0
"Hello, doctor, I've been dealing with this pain on my right side for about two months now, and it's been bothering me. It's a dull, tender kind of pain. I've also noticed I'm losing weight without meaning to, and I've been feeling more tired than usual. Lately, my legs have been swelling up, and I'm having trouble doing normal things like taking a shower or brushing my teeth because I get out of breath and fatigued. The last couple of nights have been tough with me struggling to breathe when lying down. You know about my heart issues, and I've been managing my diabetes and high blood pressure. Right now, I'm not working because of my health, and I live with my partner. I smoke about a pack a day, and I have a few drinks most days. I got two doses of the COVID vaccine five months ago. I'm not exactly sure what's going on, but I thought it's time to chat with you about it. What do you think?",2.0
"Hi, doctor, I've been having this pain on my right side for a couple of months, and it feels kind of dull and tender. I've also noticed I'm losing weight, and I've been feeling more tired. Recently, my legs have started swelling up, and it's making it hard for me to do everyday things like taking a shower or brushing my teeth. I've even had trouble breathing and feeling fatigued when I do simple things. The last two nights have been especially tough with me having difficulty breathing when lying down. Right now, I'm not working because of my health, and I live with my partner. I smoke about a pack a day, and I have a few drinks most days. I got two doses of the COVID vaccine five months ago. I'm not exactly sure what's going on, Can you help me?",2.0
"I've been experiencing this pain on my right side for about two months now. It feels kind of dull and tender. I've also noticed I'm losing weight without intending to, and I've been feeling more tired than usual. Lately, my legs have been swelling up, and it's making it difficult for me to do everyday things like taking a shower or brushing my teeth. I've even had trouble breathing and feeling fatigued when doing simple activities. The last two nights have been tough with me struggling to breathe when lying down. I don’t know whether this is because of two doses of COVID vaccine five months ago. In the past, I've been managing my diabetes and high blood pressure. Right now, I'm not working because of my health, and I live with my partner. I smoke about a pack a day, and I have a few drinks most days. I feel anxious about what's happening. What are your thoughts?",2.0
"I've been dealing with this pain on my right side for the past two months, and it's been bothering me. It feels kind of dull and tender. I've also noticed I'm losing weight without trying, and I've been feeling more tired. Recently, my legs have been swelling up, and it's making it hard for me to do everyday things like taking a shower or brushing my teeth. I've even had trouble breathing and feeling fatigued when doing simple activities. The last two nights have been rough with me struggling to breathe when lying down. I've been managing my diabetes and high blood pressure. Right now, I'm not working due to my health, and I live with my partner. I smoke about a pack a day, and I have a few drinks most days. I got two doses of the COVID vaccine about five months ago. Doctor, do you know what’s wrong with me?",2.0
